# Sello · fecha: 2026-09-20 · commit: 077caeb+cambios-sin-commit · alcance: registro completo, una fila por Cita: 149 citas de 15 fuentes · suite: 2070 passed, 8 skipped (PyMuPDF sí · ventana Tk no)
cita_id,fuente_id,norma,edicion,numeral,titulo_numeral,pagina_impresa,pagina_pdf,caracter,metodo_verificacion,fecha_verificacion,tiene_interpretacion,discrepancias_que_la_tocan,consumidores_declarados
AASHTO_LRFD_9.T3.10.3.1-1#F,AASHTO_LRFD_9,AASHTO LRFD Bridge Design Specifications,"Ninth Edition, 2020","Tabla 3.10.3.1-1, fila F",Site Class Definitions,3-102,156,definicion,ambos,2026-08-29,no,DIS-AASHTO-F-LISTA-ABIERTA [resuelta],
AASHTO_LRFD_9.C3.10.3.1-1#PASO1,AASHTO_LRFD_9,AASHTO LRFD Bridge Design Specifications,"Ninth Edition, 2020","Tabla C3.10.3.1-1, paso 1",Steps for Site Classification,3-103,157,recomendacion,texto,2026-08-29,no,DIS-AASHTO-F-LISTA-ABIERTA [resuelta],
AASHTO_LRFD_9.T12.6.6.3-1,AASHTO_LRFD_9,AASHTO LRFD Bridge Design Specifications,"Ninth Edition, 2020",Table 12.6.6.3-1,Minimum Cover,12-22,1660,exigencia,imagen renderizada,2026-08-28,no,,tabla AASHTO_LRFD_9.T12.6.6.3-1 -> criterios_adoptados['cobertura_minima_aashto']; tabla AASHTO_LRFD_9.T12.6.6.3-1 -> criterios_adoptados['condicion_pavimento']
AASHTO_LRFD_9.T3.11.6.4-1,AASHTO_LRFD_9,AASHTO LRFD Bridge Design Specifications,"Ninth Edition, 2020",Table 3.11.6.4-1,Equivalent Height of Soil for Vehicular Loading on Abutments Perpendicular to Traffic,3-151,205,exigencia,ambos,2026-08-28,no,,tabla AASHTO_LRFD_9.T3.11.6.4-1 -> M9.h_eq_sobrecarga_trasdos
AASHTO_LRFD_9.T3.11.6.4-2,AASHTO_LRFD_9,AASHTO LRFD Bridge Design Specifications,"Ninth Edition, 2020",Table 3.11.6.4-2,Equivalent Height of Soil for Vehicular Loading on Retaining Walls Parallel to Traffic,3-151,205,exigencia,ambos,2026-08-28,no,,tabla AASHTO_LRFD_9.T3.11.6.4-2 -> M9.h_eq_sobrecarga_trasdos
AASHTO_LRFD_9.T3.4.1-1,AASHTO_LRFD_9,AASHTO LRFD Bridge Design Specifications,"Ninth Edition, 2020",Table 3.4.1-1,Load Combinations and Load Factors,3-17,71,exigencia,ambos,2026-08-28,no,,
AASHTO_LRFD_9.T3.4.1-2,AASHTO_LRFD_9,AASHTO LRFD Bridge Design Specifications,"Ninth Edition, 2020",Table 3.4.1-2,Load Factors for Permanent Loads,3-18,72,exigencia,texto,2026-08-28,no,DIS-MP-ERRATAS-GAMMA-P [errata_de_imprenta],
AASHTO_LRFD_9.T5.10.1-1,AASHTO_LRFD_9,AASHTO LRFD Bridge Design Specifications,"Ninth Edition, 2020",Table 5.10.1-1,Minimum Cover for Main Reinforcing Steel (in.),5-169,528,exigencia,ambos,2026-08-28,no,,fundamento F8.RECUBRIMIENTO (Fase 8 - Verificacion estructural del conducto); tabla AASHTO_LRFD_9.T5.10.1-1 -> M9._recubrimiento_aashto_detallado
AASHTO_M170M.T1_T5#DIAMETROS,AASHTO_M170M,"AASHTO M 170M-04 «Standard Specification for Reinforced Concrete Culvert, Storm Drain, and Sewer Pipe [Metric]»",M 170M-04,Tables 1 to 5,Table 1—Design Requirements for Class I Reinforced Concrete Pipe,M 170M-3,3,definicion,imagen renderizada,2026-09-12,no,DIS-HR-D-MAX [resuelta],
AASHTO_M294_TRAD.1.1.1,AASHTO_M294_TRAD,"AASHTO M 294-11 «Tubería corrugada de polietileno, 300 a 1500 mm (12 a 60 in.) de diámetro» — TRADUCCION NO OFICIAL al español",M 294-11 (traduccion no oficial al español),1.1.1,Ámbito,s/n,1,definicion,sin verificar,sin verificar,no,DIS-HR-D-MAX [resuelta],
AASHTO_M294_TRAD.1.4,AASHTO_M294_TRAD,"AASHTO M 294-11 «Tubería corrugada de polietileno, 300 a 1500 mm (12 a 60 in.) de diámetro» — TRADUCCION NO OFICIAL al español",M 294-11 (traduccion no oficial al español),1.4,Ámbito,s/n,1,definicion,sin verificar,sin verificar,no,,
AASHTO_M294_TRAD.7.2.1,AASHTO_M294_TRAD,"AASHTO M 294-11 «Tubería corrugada de polietileno, 300 a 1500 mm (12 a 60 in.) de diámetro» — TRADUCCION NO OFICIAL al español",M 294-11 (traduccion no oficial al español),7.2.1,Tamaño nominal,s/n,5,exigencia,sin verificar,sin verificar,no,DIS-HR-M294-PASO [resuelta],
AASHTO_M294_TRAD.7.2.2,AASHTO_M294_TRAD,"AASHTO M 294-11 «Tubería corrugada de polietileno, 300 a 1500 mm (12 a 60 in.) de diámetro» — TRADUCCION NO OFICIAL al español",M 294-11 (traduccion no oficial al español),7.2.2,Espesor de pared,s/n,5,exigencia,sin verificar,sin verificar,no,,
AASHTO_M36.T6,AASHTO_M36,"AASHTO M 36 «Corrugated Steel Pipe, Metallic-Coated, for Sewers and Drains»",M 36-03 (2007),Table 6,Table 6—Pipe Sizes,M 36-11,12,definicion,imagen renderizada,2026-09-12,no,,
ASTM_A760.T1,ASTM_A760,"ASTM A760/A760M-10 «Especificacion Estandar para Tuberia de Acero Corrugado, con Recubrimiento Metalico, para Alcantarillas y Drenajes»",A760/A760M-10,Tabla 1,TABLA 1 Tamaños de tubería,3,3,definicion,imagen renderizada,2026-09-12,no,DIS-HR-D-MAX [resuelta],
ASTM_A796.10.2,ASTM_A796,"ASTM A796/A796M-13 «Structural Design of Corrugated Steel Pipe, Pipe-Arches, and Arches» (practica de diseño estructural de tuberia de acero corrugado, arcos-tubo y arcos)",A796/A796M-13,10.2,Handling and Installation,4,4,exigencia,imagen renderizada,2026-09-14,no,,
ASTM_A796.10.3,ASTM_A796,"ASTM A796/A796M-13 «Structural Design of Corrugated Steel Pipe, Pipe-Arches, and Arches» (practica de diseño estructural de tuberia de acero corrugado, arcos-tubo y arcos)",A796/A796M-13,10.3,Handling and Installation,4,4,exigencia,imagen renderizada,2026-09-14,no,,
ASTM_A796.10.4,ASTM_A796,"ASTM A796/A796M-13 «Structural Design of Corrugated Steel Pipe, Pipe-Arches, and Arches» (practica de diseño estructural de tuberia de acero corrugado, arcos-tubo y arcos)",A796/A796M-13,10.4,Handling and Installation,4,4,exigencia,imagen renderizada,2026-09-14,no,,
ASTM_A796.10.5,ASTM_A796,"ASTM A796/A796M-13 «Structural Design of Corrugated Steel Pipe, Pipe-Arches, and Arches» (practica de diseño estructural de tuberia de acero corrugado, arcos-tubo y arcos)",A796/A796M-13,10.5,Handling and Installation,4,4,exigencia,imagen renderizada,2026-09-14,no,,
ASTM_A796.10.6,ASTM_A796,"ASTM A796/A796M-13 «Structural Design of Corrugated Steel Pipe, Pipe-Arches, and Arches» (practica de diseño estructural de tuberia de acero corrugado, arcos-tubo y arcos)",A796/A796M-13,10.6,Handling and Installation,4,4,exigencia,imagen renderizada,2026-09-14,no,,
ASTM_A796.11.1#DEF,ASTM_A796,"ASTM A796/A796M-13 «Structural Design of Corrugated Steel Pipe, Pipe-Arches, and Arches» (practica de diseño estructural de tuberia de acero corrugado, arcos-tubo y arcos)",A796/A796M-13,11.1,Minimum Cover Design,5,5,definicion,imagen renderizada,2026-09-14,no,,
ASTM_A796.11.1#PISOS,ASTM_A796,"ASTM A796/A796M-13 «Structural Design of Corrugated Steel Pipe, Pipe-Arches, and Arches» (practica de diseño estructural de tuberia de acero corrugado, arcos-tubo y arcos)",A796/A796M-13,11.1,Minimum Cover Design,5,5,exigencia,imagen renderizada,2026-09-14,no,DIS-HR-A807 [resuelta],
ASTM_A796.17.1,ASTM_A796,"ASTM A796/A796M-13 «Structural Design of Corrugated Steel Pipe, Pipe-Arches, and Arches» (practica de diseño estructural de tuberia de acero corrugado, arcos-tubo y arcos)",A796/A796M-13,17.1,Materials,5,5,definicion,imagen renderizada,2026-09-14,no,DIS-HR-A807 [resuelta],
ASTM_A796.22.1,ASTM_A796,"ASTM A796/A796M-13 «Structural Design of Corrugated Steel Pipe, Pipe-Arches, and Arches» (practica de diseño estructural de tuberia de acero corrugado, arcos-tubo y arcos)",A796/A796M-13,22.1,Construction and Installation,6,6,exigencia,imagen renderizada,2026-09-14,no,DIS-HR-A807 [resuelta],
ASTM_A796.5.1,ASTM_A796,"ASTM A796/A796M-13 «Structural Design of Corrugated Steel Pipe, Pipe-Arches, and Arches» (practica de diseño estructural de tuberia de acero corrugado, arcos-tubo y arcos)",A796/A796M-13,5.1,Basis of Design,2,2,definicion,imagen renderizada,2026-09-14,no,,
ASTM_A796.6.2.2.1,ASTM_A796,"ASTM A796/A796M-13 «Structural Design of Corrugated Steel Pipe, Pipe-Arches, and Arches» (practica de diseño estructural de tuberia de acero corrugado, arcos-tubo y arcos)",A796/A796M-13,6.2.2.1,Live Loads Under Highway,3,3,definicion,imagen renderizada,2026-09-14,no,,
ASTM_A796.7.1,ASTM_A796,"ASTM A796/A796M-13 «Structural Design of Corrugated Steel Pipe, Pipe-Arches, and Arches» (practica de diseño estructural de tuberia de acero corrugado, arcos-tubo y arcos)",A796/A796M-13,7.1,Design Method,3,3,permiso,imagen renderizada,2026-09-14,no,,
ASTM_A796.8.1.1.2#SELECCION,ASTM_A796,"ASTM A796/A796M-13 «Structural Design of Corrugated Steel Pipe, Pipe-Arches, and Arches» (practica de diseño estructural de tuberia de acero corrugado, arcos-tubo y arcos)",A796/A796M-13,8.1.1.2,Design by ASD Method,3,3,exigencia,imagen renderizada,2026-09-14,no,DIS-HR-A807 [resuelta],
ASTM_A796.T11,ASTM_A796,"ASTM A796/A796M-13 «Structural Design of Corrugated Steel Pipe, Pipe-Arches, and Arches» (practica de diseño estructural de tuberia de acero corrugado, arcos-tubo y arcos)",A796/A796M-13,Table 11,TABLE 11 Sectional Properties of Spiral Rib Pipe for 19 mm Wide by 19 mm Deep Rib with a Spacing of 190 mm Center to Center (Helical) [SI Units],11,11,definicion,imagen renderizada,2026-09-14,no,,
ASTM_A796.T15,ASTM_A796,"ASTM A796/A796M-13 «Structural Design of Corrugated Steel Pipe, Pipe-Arches, and Arches» (practica de diseño estructural de tuberia de acero corrugado, arcos-tubo y arcos)",A796/A796M-13,Table 15,TABLE 15 Sectional Properties of Spiral Rib Pipe for 19 mm Wide by 25 mm Deep Rib with a Spacing of 292 mm Center to Center (Helical) [SI Units],12,12,definicion,imagen renderizada,2026-09-14,no,,
ASTM_A796.T17,ASTM_A796,"ASTM A796/A796M-13 «Structural Design of Corrugated Steel Pipe, Pipe-Arches, and Arches» (practica de diseño estructural de tuberia de acero corrugado, arcos-tubo y arcos)",A796/A796M-13,Table 17,TABLE 17 Sectional Properties of Spiral Rib Pipe for 19 mm Wide by 25 mm Deep Rib with a Spacing of 216 mm Center to Center (Helical) [SI Units],13,13,definicion,imagen renderizada,2026-09-14,no,,
ASTM_A796.T3,ASTM_A796,"ASTM A796/A796M-13 «Structural Design of Corrugated Steel Pipe, Pipe-Arches, and Arches» (practica de diseño estructural de tuberia de acero corrugado, arcos-tubo y arcos)",A796/A796M-13,Table 3,TABLE 3 Sectional Properties of Corrugated Steel Sheets for Corrugation: 38 by 6.5 mm (Helical) [SI Units],7,7,definicion,imagen renderizada,2026-09-14,no,,
ASTM_A796.T5,ASTM_A796,"ASTM A796/A796M-13 «Structural Design of Corrugated Steel Pipe, Pipe-Arches, and Arches» (practica de diseño estructural de tuberia de acero corrugado, arcos-tubo y arcos)",A796/A796M-13,Table 5,TABLE 5 Sectional Properties of Corrugated Steel Sheets for Corrugation: 68 by 13 mm (Annular or Helical) [SI Units],8,8,definicion,imagen renderizada,2026-09-14,no,,
ASTM_A796.T7,ASTM_A796,"ASTM A796/A796M-13 «Structural Design of Corrugated Steel Pipe, Pipe-Arches, and Arches» (practica de diseño estructural de tuberia de acero corrugado, arcos-tubo y arcos)",A796/A796M-13,Table 7,TABLE 7 Sectional Properties of Corrugated Steel Sheets for Corrugation: 75 by 25 mm (Annular or Helical) [SI Units],9,9,definicion,imagen renderizada,2026-09-14,no,,
ASTM_A796.T9,ASTM_A796,"ASTM A796/A796M-13 «Structural Design of Corrugated Steel Pipe, Pipe-Arches, and Arches» (practica de diseño estructural de tuberia de acero corrugado, arcos-tubo y arcos)",A796/A796M-13,Table 9,TABLE 9 Sectional Properties of Corrugated Steel Sheets for Corrugation: 125 by 25 mm (Helical) [SI Units],10,10,definicion,imagen renderizada,2026-09-14,no,,
E030.T2#S5,E030,Norma Tecnica E.030 «Diseño Sismorresistente»,"Edicion 2026, publicada en el diario oficial El Peruano","Art. 14.6, Tabla Nº 2, fila S5",Tipos de perfiles de suelo,11,11,exigencia,texto,2026-08-29,no,DIS-HR-CLASE-DE-SITIO-F [resuelta],
E030.T4,E030,Norma Tecnica E.030 «Diseño Sismorresistente»,"Edicion 2026, publicada en el diario oficial El Peruano","Art. 17, Tabla Nº 4",Factor de suelo,13,13,exigencia,texto,2026-08-29,no,DIS-HR-CLASE-DE-SITIO-F [resuelta],
E050.38.4.3,E050,Norma Tecnica E.050 «Suelos y Cimentaciones»,Edicion 2018,38.4.3,Exploración de campo,51,51,exigencia,texto,2026-08-28,no,,
E050.39.13.6,E050,Norma Tecnica E.050 «Suelos y Cimentaciones»,Edicion 2018,39.13.6 a) y b),Muros de contención,72,72,exigencia,ambos,2026-08-28,no,,
E050.20,E050,Norma Tecnica E.050 «Suelos y Cimentaciones»,Edicion 2018,Art. 20.2 y 20.3,Capacidad de carga,33,33,exigencia,texto,2026-08-28,no,,
E050.21,E050,Norma Tecnica E.050 «Suelos y Cimentaciones»,Edicion 2018,Art. 21.1 y 21.2,Factor de seguridad frente a una falla por corte,34,34,exigencia,texto,2026-08-28,no,,
E050.30.3,E050,Norma Tecnica E.050 «Suelos y Cimentaciones»,Edicion 2018,Art. 30.3,Cimentaciones superficiales en taludes o en su cercanía,39,39,exigencia,texto,2026-08-28,no,,
E060.14.3.1,E060,Norma Tecnica E.060 «Concreto Armado»,Edicion 2009,14.3.1,REFUERZO MÍNIMO,133,133,exigencia,texto,2026-08-28,no,,
E060.14.3.2,E060,Norma Tecnica E.060 «Concreto Armado»,Edicion 2009,14.3.2,REFUERZO MÍNIMO,133,133,exigencia,texto,2026-08-28,no,,
E060.14.3.3,E060,Norma Tecnica E.060 «Concreto Armado»,Edicion 2009,14.3.3,REFUERZO MÍNIMO,133,133,exigencia,texto,2026-08-28,no,,
E060.14.8.4,E060,Norma Tecnica E.060 «Concreto Armado»,Edicion 2009,14.8.4,Muros de contención,134,134,exigencia,texto,2026-08-28,no,,
E060.4.4.2,E060,Norma Tecnica E.060 «Concreto Armado»,Edicion 2009,4.4.2,PROTECCIÓN DEL REFUERZO CONTRA LA CORROSIÓN,39,39,exigencia,texto,2026-08-28,no,,
E060.7.7.1,E060,Norma Tecnica E.060 «Concreto Armado»,Edicion 2009,7.7.1,Concreto construido en sitio (no preesforzado),54,54,exigencia,texto,2026-08-28,no,,fundamento F8.RECUBRIMIENTO (Fase 8 - Verificacion estructural del conducto); tabla E060.T7.7.1 -> M9.recubrimiento_de_diseno
E060.7.7.5.1,E060,Norma Tecnica E.060 «Concreto Armado»,Edicion 2009,7.7.5.1,Ambientes corrosivos,55,55,exigencia,texto,2026-08-28,no,,
E060.T4.2,E060,Norma Tecnica E.060 «Concreto Armado»,Edicion 2009,Tabla 4.2,REQUISITOS PARA CONDICIONES ESPECIALES DE EXPOSICIÓN,37,37,exigencia,ambos,2026-08-28,no,,tabla E060.T4.2 -> M9.requisitos_durabilidad_concreto
E060.T4.4,E060,Norma Tecnica E.060 «Concreto Armado»,Edicion 2009,Tabla 4.4,REQUISITOS PARA CONCRETO EXPUESTO A SOLUCIONES DE SULFATOS,38,38,exigencia,ambos,2026-08-28,no,DIS-E060-BORDE-2-0 [resuelta],tabla E060.T4.4 -> M9.clase_exposicion_sulfatos; tabla E060.T4.4 -> M9.requisitos_durabilidad_concreto
EG2013.205.12c1,EG2013,"Manual de Carreteras ""Especificaciones Tecnicas Generales para Construccion"" (EG-2013)",Version revisada y corregida a junio 2013,205.12 c) 1.,205.12 Criterio,193,201,exigencia,texto,2026-08-28,no,,
EG2013.503.01#ALCANCE,EG2013,"Manual de Carreteras ""Especificaciones Tecnicas Generales para Construccion"" (EG-2013)",Version revisada y corregida a junio 2013,503.01,Descripción,905,913,definicion,texto,2026-08-28,no,,
EG2013.503.04#T503_07,EG2013,"Manual de Carreteras ""Especificaciones Tecnicas Generales para Construccion"" (EG-2013)",Version revisada y corregida a junio 2013,"503.04, Tabla 503-07",Clases de concreto,912,920,exigencia,ambos,2026-08-28,no,DIS-HR-CICLOPEO [resuelta],tabla EG2013.T503-07 -> M9.verificar_ciclopeo
EG2013.503.10h#CAJON,EG2013,"Manual de Carreteras ""Especificaciones Tecnicas Generales para Construccion"" (EG-2013)",Version revisada y corregida a junio 2013,503.10 h),Operaciones para el vaciado de la mezcla,926,934,recomendacion,texto,2026-08-28,no,,
EG2013.506.01#ALCANCE,EG2013,"Manual de Carreteras ""Especificaciones Tecnicas Generales para Construccion"" (EG-2013)",Version revisada y corregida a junio 2013,506.01,Descripción,959,967,definicion,texto,2026-08-28,no,,
EG2013.508.07#RELLENO_MIN,EG2013,"Manual de Carreteras ""Especificaciones Tecnicas Generales para Construccion"" (EG-2013)",Version revisada y corregida a junio 2013,508.07,Colocación del relleno alrededor de la estructura,984,992,exigencia,texto,2026-08-28,no,DIS-CN-EG-508-07 [resuelta],fundamento F7.RELLENO (Fase 7 - Compatibilidad geometrica)
HDS5_3ED.3.1.3#TRANSICION,HDS5_3ED,HDS-5 «Hydraulic Design of Highway Culverts» (FHWA-HIF-12-026),"Third Edition, April 2012",3.1.3,Inlet Control,3.4,86,aproximacion,texto,2026-08-28,no,,
HDS5_3ED.3.1.4#K,HDS5_3ED,HDS-5 «Hydraulic Design of Highway Culverts» (FHWA-HIF-12-026),"Third Edition, April 2012","3.1.4, ec. (3.4b)",Outlet Control,3.10,92,definicion,texto,2026-08-28,no,DIS-HDS5-EDICIONES [resuelta],fundamento F4.CONTROL (Fase 4 - Dimensionamiento hidraulico)
HDS5_3ED.3.3.3#HO,HDS5_3ED,HDS-5 «Hydraulic Design of Highway Culverts» (FHWA-HIF-12-026),"Third Edition, April 2012",3.3.3,Outlet Control,3.24,106,aproximacion,texto,2026-08-28,no,,fundamento F4.HO (Fase 4 - Dimensionamiento hidraulico); fundamento F4.YC_RECT (Fase 4 - Dimensionamiento hidraulico)
HDS5_3ED.3.3.3#HO_1_2D,HDS5_3ED,HDS-5 «Hydraulic Design of Highway Culverts» (FHWA-HIF-12-026),"Third Edition, April 2012",3.3.3,Outlet Control,3.24,106,exigencia,texto,2026-08-28,no,,fundamento F4.HO (Fase 4 - Dimensionamiento hidraulico)
HDS5_3ED.3.3.3#HO_SUMERGIDA,HDS5_3ED,HDS-5 «Hydraulic Design of Highway Culverts» (FHWA-HIF-12-026),"Third Edition, April 2012",3.3.3,Outlet Control,3.24,106,exigencia,texto,2026-08-28,no,,fundamento F4.HO (Fase 4 - Dimensionamiento hidraulico)
HDS5_3ED.5.3.3#ALINEADO,HDS5_3ED,HDS-5 «Hydraulic Design of Highway Culverts» (FHWA-HIF-12-026),"Third Edition, April 2012",5.3.3,Sedimentation,5.11,147,definicion,texto,2026-08-30,no,,fundamento F5.V2b (Fase 5 - Verificaciones)
HDS5_3ED.5.3.3#INDICADORES,HDS5_3ED,HDS-5 «Hydraulic Design of Highway Culverts» (FHWA-HIF-12-026),"Third Edition, April 2012",5.3.3,Sedimentation,5.11,147,definicion,texto,2026-08-30,no,,fundamento F5.V2b (Fase 5 - Verificaciones)
HDS5_3ED.A.2,HDS5_3ED,HDS-5 «Hydraulic Design of Highway Culverts» (FHWA-HIF-12-026),"Third Edition, April 2012","A.2, A.2.1",INLET CONTROL EQUATIONS,A.2,191,definicion,texto,2026-08-28,no,,fundamento F4.CONTROL (Fase 4 - Dimensionamiento hidraulico); fundamento F4.FORMA_HDS5 (Fase 4 - Dimensionamiento hidraulico); fundamento F4.YC_RECT (Fase 4 - Dimensionamiento hidraulico)
HDS5_3ED.A.2.1#KS,HDS5_3ED,HDS-5 «Hydraulic Design of Highway Culverts» (FHWA-HIF-12-026),"Third Edition, April 2012",A.2.1,Unsubmerged Inlet Control Equations,A.2,191,definicion,texto,2026-08-28,no,,
